"Var1","Var2","Freq"
"1","0",7614
"2","0",13531
"3","0",12298
"4","0",12374
"85","0",1
"94","0",638
"97","0",70
"98","0",160
"1","1",4983
"2","1",3522
"3","1",877
"4","1",222
"85","1",1
"94","1",18
"97","1",4
"98","1",33
